S.No,Symbol,Company Name,Industry,Market Lot,Series,ISIN Code,YahooSymbol
79,HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,150,EQ,INE158A01026,HEROMOTOCO.NS
80,HINDALCO,Hindalco Industries Ltd.,Metals & Mining,700,EQ,INE038A01020,HINDALCO.NS
81,HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,2025,EQ,INE094A01015,HINDPETRO.NS
82,HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,300,EQ,INE030A01027,HINDUNILVR.NS
83,HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,1225,EQ,INE267A01025,HINDZINC.NS
84,HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,275,EQ,INE0V6F01027,HYUNDAI.NS
85,ICICIBANK,ICICI Bank Ltd.,Financial Services,700,EQ,INE090A01021,ICICIBANK.NS
86,ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,325,EQ,INE765G01017,ICICIGI.NS
87,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,925,EQ,INE726G01019,ICICIPRULI.NS
88,IDEA,Vodafone Idea Ltd.,Telecommunication,71475,EQ,INE669E01016,IDEA.NS
89,IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,9275,EQ,INE092T01019,IDFCFIRSTB.NS
90,IEX,Indian Energy Exchange Ltd.,Financial Services,4350,EQ,INE022Q01020,IEX.NS
91,INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,1000,EQ,INE053A01029,INDHOTEL.NS
92,INDIANB,Indian Bank,Financial Services,1000,EQ,INE562A01011,INDIANB.NS
93,INDIGO,InterGlobe Aviation Ltd.,Services,150,EQ,INE646L01027,INDIGO.NS
94,INDUSINDBK,IndusInd Bank Ltd.,Financial Services,700,EQ,INE095A01012,INDUSINDBK.NS
95,INDUSTOWER,Indus Towers Ltd.,Telecommunication,1700,EQ,INE121J01017,INDUSTOWER.NS
96,INFY,Infosys Ltd.,Information Technology,400,EQ,INE009A01021,INFY.NS
97,INOXWIND,Inox Wind Ltd.,Capital Goods,6400,EQ,INE066P01011,INOXWIND.NS
98,IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,4875,EQ,INE242A01010,IOC.NS
99,IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,4525,EQ,INE202E01016,IREDA.NS
100,IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,5425,EQ,INE053F01010,IRFC.NS
101,ITC,ITC Ltd.,Fast Moving Consumer Goods,1725,EQ,INE154A01025,ITC.NS
102,JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,625,EQ,INE749A01030,JINDALSTEL.NS
103,JIOFIN,Jio Financial Services Ltd.,Financial Services,2350,EQ,INE758E01017,JIOFIN.NS
104,JSWENERGY,JSW Energy Ltd.,Power,1075,EQ,INE121E01018,JSWENERGY.NS
105,JSWSTEEL,JSW Steel Ltd.,Metals & Mining,675,EQ,INE019A01038,JSWSTEEL.NS
106,JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,1250,EQ,INE797F01020,JUBLFOOD.NS
107,KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,1350,EQ,INE303R01014,KALYANKJIL.NS
108,KAYNES,Kaynes Technology India Ltd.,Capital Goods,150,EQ,INE918Z01012,KAYNES.NS
109,KEI,KEI Industries Ltd.,Capital Goods,175,EQ,INE878B01027,KEI.NS
110,KFINTECH,Kfin Technologies Ltd.,Financial Services,575,EQ,INE138Y01010,KFINTECH.NS
111,KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,2000,EQ,INE237A01036,KOTAKBANK.NS
112,KPITTECH,KPIT Technologies Ltd.,Information Technology,775,EQ,INE04I401011,KPITTECH.NS
113,LAURUSLABS,Laurus Labs Ltd.,Healthcare,850,EQ,INE947Q01028,LAURUSLABS.NS
114,LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,1000,EQ,INE115A01026,LICHSGFIN.NS
115,LICI,Life Insurance Corporation of India,Financial Services,1400,EQ,INE0J1Y01017,LICI.NS
116,LODHA,Lodha Developers Ltd.,Realty,625,EQ,INE670K01029,LODHA.NS
117,LT,Larsen & Toubro Ltd.,Construction,175,EQ,INE018A01030,LT.NS
118,LTF,L&T Finance Ltd.,Financial Services,2250,EQ,INE498L01015,LTF.NS
119,LTM,LTM Ltd.,Information Technology,150,EQ,INE214T01019,LTM.NS
120,LUPIN,Lupin Ltd.,Healthcare,425,EQ,INE326A01037,LUPIN.NS
121,M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,200,EQ,INE101A01026,M&M.NS
122,MAHABANK,Bank of Maharashtra,Financial Services,6500,EQ,INE457A01014,MAHABANK.NS
123,MANAPPURAM,Manappuram Finance Ltd.,Financial Services,3000,EQ,INE522D01027,MANAPPURAM.NS
124,MANKIND,Mankind Pharma Ltd.,Healthcare,250,EQ,INE634S01028,MANKIND.NS
125,MARICO,Marico Ltd.,Fast Moving Consumer Goods,1200,EQ,INE196A01026,MARICO.NS
126,MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,50,EQ,INE585B01010,MARUTI.NS
127,MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,525,EQ,INE027H01010,MAXHEALTH.NS
128,MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,225,EQ,INE249Z01020,MAZDOCK.NS
129,MCX,Multi Commodity Exchange of India Ltd.,Financial Services,225,EQ,INE745G01043,MCX.NS
130,MFSL,Max Financial Services Ltd.,Financial Services,400,EQ,INE180A01020,MFSL.NS
131,MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,6150,EQ,INE775A01035,MOTHERSON.NS
132,MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,775,EQ,INE338I01027,MOTILALOFS.NS
133,MPHASIS,MphasiS Ltd.,Information Technology,275,EQ,INE356A01018,MPHASIS.NS
134,MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,275,EQ,INE414G01012,MUTHOOTFIN.NS
135,NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,625,EQ,INE298J01013,NAM-INDIA.NS
136,NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,1875,EQ,INE139A01034,NATIONALUM.NS
137,NAUKRI,Info Edge (India) Ltd.,Consumer Services,550,EQ,INE663F01032,NAUKRI.NS
138,NBCC,NBCC (India) Ltd.,Construction,6500,EQ,INE095N01031,NBCC.NS
139,NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,500,EQ,INE239A01024,NESTLEIND.NS
140,NHPC,NHPC Ltd.,Power,6950,EQ,INE848E01016,NHPC.NS
141,NMDC,NMDC Ltd.,Metals & Mining,6750,EQ,INE584A01023,NMDC.NS
142,NTPC,NTPC Ltd.,Power,1500,EQ,INE733E01010,NTPC.NS
143,NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,3125,EQ,INE388Y01029,NYKAA.NS
144,OBEROIRLTY,Oberoi Realty Ltd.,Realty,350,EQ,INE093I01010,OBEROIRLTY.NS
145,OFSS,Oracle Financial Services Software Ltd.,Information Technology,100,EQ,INE881D01027,OFSS.NS
146,OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,1400,EQ,INE274J01014,OIL.NS
147,ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,2250,EQ,INE213A01029,ONGC.NS
148,PAGEIND,Page Industries Ltd.,Textiles,20,EQ,INE761H01022,PAGEIND.NS
149,PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,1075,EQ,INE619A01035,PATANJALI.NS
150,PAYTM,One 97 Communications Ltd.,Financial Services,725,EQ,INE982J01020,PAYTM.NS
151,PERSISTENT,Persistent Systems Ltd.,Information Technology,125,EQ,INE262H01021,PERSISTENT.NS
152,PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,1900,EQ,INE347G01014,PETRONET.NS
153,PFC,Power Finance Corporation Ltd.,Financial Services,1300,EQ,INE134E01011,PFC.NS
154,PGEL,PG Electroplast Ltd.,Consumer Durables,950,EQ,INE457L01029,PGEL.NS
155,PHOENIXLTD,Phoenix Mills Ltd.,Realty,350,EQ,INE211B01039,PHOENIXLTD.NS
156,PIDILITIND,Pidilite Industries Ltd.,Chemicals,500,EQ,INE318A01026,PIDILITIND.NS
157,PIIND,PI Industries Ltd.,Chemicals,175,EQ,INE603J01030,PIIND.NS
158,PNB,Punjab National Bank,Financial Services,8000,EQ,INE160A01022,PNB.NS
159,PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,650,EQ,INE572E01012,PNBHOUSING.NS
160,POLICYBZR,PB Fintech Ltd.,Financial Services,350,EQ,INE417T01026,POLICYBZR.NS
161,POLYCAB,Polycab India Ltd.,Capital Goods,125,EQ,INE455K01017,POLYCAB.NS
162,POWERGRID,Power Grid Corporation of India Ltd.,Power,1900,EQ,INE752E01010,POWERGRID.NS
163,POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,25,EQ,INE07Y701011,POWERINDIA.NS
164,PREMIERENE,Premier Energies Ltd.,Capital Goods,650,EQ,INE0BS701011,PREMIERENE.NS
165,PRESTIGE,Prestige Estates Projects Ltd.,Realty,450,EQ,INE811K01011,PRESTIGE.NS
166,RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,150,EQ,INE944F01028,RADICO.NS
167,RBLBANK,RBL Bank Ltd.,Financial Services,3175,EQ,INE976G01028,RBLBANK.NS
168,RECLTD,REC Ltd.,Financial Services,1575,EQ,INE020B01018,RECLTD.NS
169,RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,500,EQ,INE002A01018,RELIANCE.NS
170,RVNL,Rail Vikas Nigam Ltd.,Construction,1925,EQ,INE415G01027,RVNL.NS
171,SAGILITY,Sagility Ltd.,Information Technology,12000,EQ,INE0W2G01015,SAGILITY.NS
172,SAIL,Steel Authority of India Ltd.,Metals & Mining,4700,EQ,INE114A01011,SAIL.NS
173,SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,800,EQ,INE018E01016,SBICARD.NS
174,SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,375,EQ,INE123W01016,SBILIFE.NS
175,SBIN,State Bank of India,Financial Services,750,EQ,INE062A01020,SBIN.NS
176,SHREECEM,Shree Cement Ltd.,Construction Materials,25,EQ,INE070A01015,SHREECEM.NS
177,SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,825,EQ,INE721A01047,SHRIRAMFIN.NS
178,SIEMENS,Siemens Ltd.,Capital Goods,175,EQ,INE003A01024,SIEMENS.NS
179,SOLARINDS,Solar Industries India Ltd.,Chemicals,50,EQ,INE343H01029,SOLARINDS.NS
180,SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,1225,EQ,INE073K01018,SONACOMS.NS
181,SRF,SRF Ltd.,Chemicals,200,EQ,INE647A01010,SRF.NS
182,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,350,EQ,INE044A01036,SUNPHARMA.NS
183,SUPREMEIND,Supreme Industries Ltd.,Capital Goods,175,EQ,INE195A01028,SUPREMEIND.NS
184,SUZLON,Suzlon Energy Ltd.,Capital Goods,12700,EQ,INE040H01021,SUZLON.NS
185,SWIGGY,Swiggy Ltd.,Consumer Services,1825,EQ,INE00H001014,SWIGGY.NS
186,TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,550,EQ,INE192A01025,TATACONSUM.NS
187,TATAELXSI,Tata Elxsi Ltd.,Information Technology,125,EQ,INE670A01012,TATAELXSI.NS
188,TATAPOWER,Tata Power Co. Ltd.,Power,1450,EQ,INE245A01021,TATAPOWER.NS
189,TATASTEEL,Tata Steel Ltd.,Metals & Mining,2750,EQ,INE081A01020,TATASTEEL.NS
190,TCS,Tata Consultancy Services Ltd.,Information Technology,225,EQ,INE467B01029,TCS.NS
191,TECHM,Tech Mahindra Ltd.,Information Technology,600,EQ,INE669C01036,TECHM.NS
192,TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,200,EQ,INE974X01010,TIINDIA.NS
193,TITAN,Titan Company Ltd.,Consumer Durables,175,EQ,INE280A01028,TITAN.NS
194,TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,1600,EQ,INE155A01022,TMPV.NS
195,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,125,EQ,INE685A01028,TORNTPHARM.NS
196,TRENT,Trent Ltd.,Consumer Services,225,EQ,INE849A01020,TRENT.NS
197,TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,175,EQ,INE494B01023,TVSMOTOR.NS
198,ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,50,EQ,INE481G01011,ULTRACEMCO.NS
199,UNIONBANK,Union Bank of India,Financial Services,4425,EQ,INE692A01016,UNIONBANK.NS
200,UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,400,EQ,INE854D01024,UNITDSPR.NS
201,UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,550,EQ,INE405E01023,UNOMINDA.NS
202,UPL,UPL Ltd.,Chemicals,1355,EQ,INE628A01036,UPL.NS
203,VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,1275,EQ,INE200M01039,VBL.NS
204,VEDL,Vedanta Ltd.,Metals & Mining,1150,EQ,INE205A01025,VEDL.NS
205,VMM,Vishal Mega Mart Ltd.,Consumer Services,4850,EQ,INE01EA01019,VMM.NS
206,VOLTAS,Voltas Ltd.,Consumer Durables,375,EQ,INE226A01021,VOLTAS.NS
207,WAAREEENER,Waaree Energies Ltd.,Capital Goods,175,EQ,INE377N01017,WAAREEENER.NS
208,WIPRO,Wipro Ltd.,Information Technology,3000,EQ,INE075A01022,WIPRO.NS
209,YESBANK,Yes Bank Ltd.,Financial Services,31100,EQ,INE528G01035,YESBANK.NS
210,ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,900,EQ,INE010B01027,ZYDUSLIFE.NS
